Comoditie Indicador Fonte Data Valor Variacao
 "Algodão - Indicador Cepea/Esalq" "Fonte: Cepea/Esalq" 23/07/2024 406,07 0,91%
 "Amendoim - Ceasas" "Fonte: Ceasa Campinas/SP - Ceasa Belo Horizonte/MG - Ceagesp/SP" "Sem pele / Kg" 9,50 -7,77
 "Indicador Arroz em Casca - Esalq/Senar-RS" "Fonte: Cepea/Esalq" 23/07/2024 116,01 0,43%
 "Boi Gordo - Média SP a prazo" "Fonte: Cepea/Esalq" 23/07/2024 232,51 -0,46%
 Cacau "Fonte: CNPC" "Preço Médio" 818,40 0,00
 "Café Conilon - Disponível (Espírito Santo)" "Fonte: CCCV/ Cooabriel/ BCSP" "Tipo 8" 1.250,00 0,00
 "Preço Feijão Atacado - Média PR" "Fonte: DERAL/DEB - SEAB/PR" "Feijão preto tipo 1" 228,71 +0,26
 "Preços do Frango Resfriado Cepea/Esalq" "Fonte: Cepea/Esalq" 23/07/2024 7,31 0,00%
 "Uva - Ceasas" "Fonte: Ceasa Campinas/SP - Ceasa Belo Horizonte/MG - Ceagesp/SP" "Itália A" 10,61 +0,57
 "Laranja Pera In Natura" "Fonte: Cepea/Esalq" 23/07/2024 92,69 1,18%
 "Borracha Natural" "Fonte: Instituto de Economia Agrícola - IEA" "Referência: Junho/2024"  
 "Tomate - Ceasas" "Fonte: Ceasa Campinas/SP - Ceasa Belo Horizonte/MG - Ceagesp/SP" "Débora 3A" 3,70 +17,09
 "Leite - Preços ao Produtor (R$/Litro)" "Fonte: Cepea/Esalq" "Referência: Maio/24"  
 "Mandioca - Ceasas" "Fonte: Ceasa Campinas/SP - Ceasa Belo Horizonte/MG - Ceagesp/SP" Miuda 0,93 -10,58
 "Câmbio - PTAX" "Fonte: Banco Central do Brasil" Euro 6,0584 +0,14
 "Indicador do Milho Esalq/B3" "Fonte: Cepea" 23/07/2024 58,41 1,48%
 "Preços de Ovos Cepea - Produto a Retirar em Bastos (SP)" "Fonte: Cepea/Esalq" 23/07/2024 Vermelho -
 "Preço Médio Resina Pinus" "Fonte: Associação dos Resinadores do Brasil - Aresb" "Referência: Junho/24"  
 "Indicador da Soja Cepea/Esalq - Paraná" "Fonte: Cepea/Esalq" 23/07/2024 135,05 1,27%
 "Sorgo - Mercado Físico MS" "Fonte: Granos Corretora" Sidrolândia 36,80 0,00
 "Etanol - Bolsa de Chicago" "Fonte: CME Group" Nov/24 2,161 0,00
 "Suínos - Bolsas e Associações" "Fonte: APCS; ACSURS; ACCS; ACRISMAT; ASEMG" "Minas Gerais" 8,00 0,00
 "Preço Médio do Trigo Cepea/Esalq" "Fonte: Cepea/Esalq" 23/07/2024 "Rio Grande do Sul" 1.503,91
 "Repolho - Ceasas" "Fonte: Ceasa Campinas/SP - Ceasa Belo Horizonte/MG - Ceagesp/SP" "Roxo /Eng - 12/14 Cabeças" 41,21 -20,87
